Using GPU: b'NVIDIA GeForce RTX 2080 Ti'
This network will be trained using DT = 0.005
Numpy seed: 1118289516, Cupy seed: 998927211
Loading datasets...
Creating network...
Training...
Train | Epoch 6.1 | Loss: 30.8, Accuracy (%): 79.38, Silent labels (%): 0.0, Time (s): 3.51
Train | Epoch 6.2 | Loss: 30.5, Accuracy (%): 80.08, Silent labels (%): 0.0, Time (s): 6.79
Train | Epoch 6.3 | Loss: 30.56, Accuracy (%): 79.88, Silent labels (%): 0.0, Time (s): 10.06
Train | Epoch 6.4 | Loss: 30.52, Accuracy (%): 79.54, Silent labels (%): 0.01, Time (s): 13.33
Train | Epoch 6.5 | Loss: 30.42, Accuracy (%): 80.09, Silent labels (%): 0.0, Time (s): 16.6
Train | Epoch 6.6 | Loss: 30.64, Accuracy (%): 79.77, Silent labels (%): 0.0, Time (s): 19.86
Train | Epoch 6.7 | Loss: 30.78, Accuracy (%): 79.69, Silent labels (%): 0.0, Time (s): 23.13
Train | Epoch 6.8 | Loss: 30.28, Accuracy (%): 80.44, Silent labels (%): 0.0, Time (s): 26.4
Train | Epoch 6.9 | Loss: 30.25, Accuracy (%): 79.84, Silent labels (%): 0.0, Time (s): 29.67
Train | Epoch 7.0 | Loss: 30.64, Accuracy (%): 79.33, Silent labels (%): 0.0, Time (s): 32.95
Test | Epoch 7.0 | Loss: 31.53, Accuracy (%): 78.85, Learning rate: 0.003, Hidden layer 1 spike counts: 281.96, Output layer spike counts: 150.27, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 494.96, Output layer weights norm: 99.46, Time (s): 2.59
Best accuracy: 78.85%, Networks save to: best_model
Train | Epoch 7.1 | Loss: 29.57, Accuracy (%): 80.48, Silent labels (%): 0.0, Time (s): 3.4
Train | Epoch 7.2 | Loss: 29.68, Accuracy (%): 80.28, Silent labels (%): 0.0, Time (s): 6.65
Train | Epoch 7.3 | Loss: 29.63, Accuracy (%): 80.34, Silent labels (%): 0.0, Time (s): 9.9
