Using GPU: b'NVIDIA A40'
This network will be trained using DT = 0.003
Numpy seed: 1835284946, Cupy seed: 1795915461
Loading datasets...
Creating network...
Training...
Train | Epoch 5.5 | Loss: 32.2, Accuracy (%): 79.37, Silent labels (%): 0.01, Time (s): 15.17
Train | Epoch 5.6 | Loss: 32.66, Accuracy (%): 78.5, Silent labels (%): 0.0, Time (s): 18.2
Train | Epoch 5.7 | Loss: 32.31, Accuracy (%): 79.03, Silent labels (%): 0.02, Time (s): 21.22
Train | Epoch 5.8 | Loss: 31.77, Accuracy (%): 80.04, Silent labels (%): 0.0, Time (s): 24.25
Train | Epoch 5.9 | Loss: 32.0, Accuracy (%): 79.79, Silent labels (%): 0.01, Time (s): 27.27
Train | Epoch 6.0 | Loss: 32.49, Accuracy (%): 79.17, Silent labels (%): 0.01, Time (s): 30.29
Test | Epoch 6.0 | Loss: 33.21, Accuracy (%): 78.49, Learning rate: 0.003, Hidden layer 1 spike counts: 445.33, Output layer spike counts: 149.65, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 476.46, Output layer weights norm: 96.35, Time (s): 2.42
Best accuracy: 78.49%, Networks save to: best_model
Train | Epoch 6.1 | Loss: 32.41, Accuracy (%): 79.21, Silent labels (%): 0.0, Time (s): 3.03
Train | Epoch 6.2 | Loss: 31.62, Accuracy (%): 79.62, Silent labels (%): 0.01, Time (s): 6.07
Train | Epoch 6.3 | Loss: 31.48, Accuracy (%): 79.94, Silent labels (%): 0.0, Time (s): 9.11
Train | Epoch 6.4 | Loss: 31.64, Accuracy (%): 79.73, Silent labels (%): 0.0, Time (s): 12.18
Train | Epoch 6.5 | Loss: 30.83, Accuracy (%): 80.36, Silent labels (%): 0.0, Time (s): 15.26
Train | Epoch 6.6 | Loss: 31.85, Accuracy (%): 79.79, Silent labels (%): 0.01, Time (s): 18.35
Train | Epoch 6.7 | Loss: 31.1, Accuracy (%): 80.35, Silent labels (%): 0.02, Time (s): 21.45
Train | Epoch 6.8 | Loss: 31.24, Accuracy (%): 79.67, Silent labels (%): 0.0, Time (s): 24.57
Train | Epoch 6.9 | Loss: 30.95, Accuracy (%): 80.61, Silent labels (%): 0.02, Time (s): 27.68
Train | Epoch 7.0 | Loss: 31.21, Accuracy (%): 80.0, Silent labels (%): 0.01, Time (s): 30.79
Test | Epoch 7.0 | Loss: 32.38, Accuracy (%): 78.88, Learning rate: 0.003, Hidden layer 1 spike counts: 475.7, Output layer spike counts: 149.87, Hidden layer 1 silents (%): 0.5, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 504.06, Output layer weights norm: 98.56, Time (s): 2.44
Best accuracy: 78.88%, Networks save to: best_model
Train | Epoch 7.1 | Loss: 30.3, Accuracy (%): 81.03, Silent labels (%): 0.0, Time (s): 3.03
Train | Epoch 7.2 | Loss: 31.14, Accuracy (%): 80.07, Silent labels (%): 0.01, Time (s): 6.1
